"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","view_history","rt","task","stimulus","response","correct","mouse_click","stim_duration","block_duration","timing_post_trial","current_position","tol_num_moves_made","tol_target","tol_problem_id","tol_rt","key_press","possible_responses","tol_correct","preplanning","tol_rt_per_trial","tol_min_moves","answer","item","fiar_detect_rt","fiar_detect_correct","total_correct_fiar_detect","post_trial_gap","choices","spm_correct","spm_rt"
"true","false","[]","[]","[]","preload","0","1059","0.0-0.0","57ce74a271536c00015f12ed","B2","batch2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","1","28390","0.0-1.0-0.0","57ce74a271536c00015f12ed","B2","batch2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","2","32130","0.0-2.0-0.0","57ce74a271536c00015f12ed","B2","batch2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","instructions","3","255087","0.0-2.0-1.0-0.0-0.0","57ce74a271536c00015f12ed","B2","batch2","[{""page_index"":0,""viewing_time"":58179.80000001192},{""page_index"":1,""viewing_time"":9725.799999982119},{""page_index"":2,""viewing_time"":6540.200000017881},{""page_index"":3,""viewing_time"":11335.699999988079},{""page_index"":4,""viewing_time"":124910.09999999404},{""page_index"":5,""viewing_time"":10257.800000011921},{""page_index"":6,""viewing_time"":2007.9000000059605}]","222957.59999999404","tol-instructions","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","4","256001","0.0-2.0-1.0-1.0-0.0","57ce74a271536c00015f12ed","B2","batch2","","913.3999999761581","tol_enter_quiz","<p class=block-text> Let's answer a few questions <br>","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","5","260539","0.0-2.0-1.0-1.0-1.0","57ce74a271536c00015f12ed","B2","batch2","","4536.5999999940395","tol_quiz","<p class = block-text>True or False: You can only move the ball on top of a peg. <br></p>","0","true","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","6","261499","0.0-2.0-1.0-1.0-2.0","57ce74a271536c00015f12ed","B2","batch2","","958.7999999821186","tol_quiz_feedback","<p class = block-text>Correct! You can only move the ball on top of a peg.</p>","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","7","264625","0.0-2.0-1.0-1.0-3.0","57ce74a271536c00015f12ed","B2","batch2","","3124.9000000059605","tol_quiz","<p class = block-text>True or False: You should try to match your board with the target board with fewest moves possible. <br></p>","0","true","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","8","265414","0.0-2.0-1.0-1.0-4.0","57ce74a271536c00015f12ed","B2","batch2","","787.5","tol_quiz_feedback","<p class = block-text>Correct! </p>","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","9","266983","0.0-2.0-2.0","57ce74a271536c00015f12ed","B2","batch2","","1568.300000011921","","<p class=block-text> Now that you've understood the game, let's practice a few easier examples before we start!<br> <br>","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","single-stim-button","10","271884","0.0-2.0-3.0-0.0","57ce74a271536c00015f12ed","B2","batch2","","4900","tol_practice","","","","tol_peg_2","4900","4900","0","[[1,2,0],[0,0],[0]]","1","[[1,2,0],[0,0],[3]]","practice","4900","","","","","","","","","","","","","","",""
"","","","","","single-stim-button","11","273420","0.0-2.0-3.0-1.0","57ce74a271536c00015f12ed","B2","batch2","","1533","tol_practice","","","","tol_peg_3","1533","1533","0","[[1,2,0],[0,0],[3]]","1","[[1,2,0],[0,0],[3]]","practice","1533","","","","","","","","","","","","","","",""
"","","","","","poldrack-single-stim","12","274423","0.0-2.0-4.0","57ce74a271536c00015f12ed","B2","batch2","","-1","tol_feedback","","","true","","1000","1000","500","","","","","","-1","none","true","","0","","","","","","","","","",""
"","","","","","single-stim-button","13","278169","0.0-2.0-5.0-0.0","57ce74a271536c00015f12ed","B2","batch2","","3746","tol_practice","","","","tol_peg_1","3746","3746","0","[[1,0,0],[3,0],[0]]","2","[[0,0,0],[3,1],[2]]","practice","3746","","","","","","","","","","","","","","",""
"","","","","","single-stim-button","14","279138","0.0-2.0-5.0-1.0","57ce74a271536c00015f12ed","B2","batch2","","968","tol_practice","","","","tol_peg_3","968","968","0","[[1,0,0],[3,0],[2]]","2","[[0,0,0],[3,1],[2]]","practice","968","","","","","","","","","","","","","","",""
"","","","","","single-stim-button","15","280426","0.0-2.0-5.1-0.1","57ce74a271536c00015f12ed","B2","batch2","","1287","tol_practice","","","","tol_peg_1","1287","1287","0","[[0,0,0],[3,0],[2]]","3","[[0,0,0],[3,1],[2]]","practice","1287","","","","","","","","","","","","","","",""
"","","","","","single-stim-button","16","281050","0.0-2.0-5.1-1.1","57ce74a271536c00015f12ed","B2","batch2","","624","tol_practice","","","","tol_peg_2","624","624","0","[[0,0,0],[3,1],[2]]","3","[[0,0,0],[3,1],[2]]","practice","624","","","","","","","","","","","","","","",""
"","","","","","poldrack-single-stim","17","282054","0.0-2.0-6.0","57ce74a271536c00015f12ed","B2","batch2","","-1","tol_feedback","","","true","","1000","1000","500","","","","","","-1","none","true","","0","","","","","","","","","",""
"","","","","","single-stim-button","18","287198","0.0-2.0-7.0-0.0","57ce74a271536c00015f12ed","B2","batch2","","5143","tol_practice","","","","tol_peg_2","5143","5143","0","[[1,2,0],[0,0],[0]]","4","[[1,0,0],[2,0],[3]]","practice","5143","","","","","","","","","","","","","","",""
"","","","","","single-stim-button","19","287902","0.0-2.0-7.0-1.0","57ce74a271536c00015f12ed","B2","batch2","","703","tol_practice","","","","tol_peg_3","703","703","0","[[1,2,0],[0,0],[3]]","4","[[1,0,0],[2,0],[3]]","practice","703","","","","","","","","","","","","","","",""
"","","","","","single-stim-button","20","288925","0.0-2.0-7.1-0.1","57ce74a271536c00015f12ed","B2","batch2","","1023","tol_practice","","","","tol_peg_1","1023","1023","0","[[1,0,0],[0,0],[3]]","5","[[1,0,0],[2,0],[3]]","practice","1023","","","","","","","","","","","","","","",""
"","","","","","single-stim-button","21","289534","0.0-2.0-7.1-1.1","57ce74a271536c00015f12ed","B2","batch2","","607","tol_practice","","","","tol_peg_2","607","607","0","[[1,0,0],[2,0],[3]]","5","[[1,0,0],[2,0],[3]]","practice","607","","","","","","","","","","","","","","",""
"","","","","","poldrack-single-stim","22","290545","0.0-2.0-8.0","57ce74a271536c00015f12ed","B2","batch2","","-1","tol_feedback","","","true","","1000","1000","500","","","","","","-1","none","true","","0","","","","","","","","","",""
"","","","","","html-button-response","23","292080","0.0-2.0-9.0","57ce74a271536c00015f12ed","B2","batch2","","1533.800000011921","tol_instruction","<div class = centerbox><p class = center-block-text>Great job! You are done with practice trials<br>You are about to start official trials.<br> <br> Problem <strong>1</strong> out of 25 problems</p></div>","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","single-stim-button","24","315014","0.0-2.0-10.0-0.0","57ce74a271536c00015f12ed","B2","batch2","","21918","tol_tohand","","","","tol_peg_1","21918","21918","0","[[1,0,0],[3,0],[0]]","1","[[1,3,0],[2,0],[0]]","0","0","","","","","","3","","","","","","","","",""
"","","","","","single-stim-button","25","317935","0.0-2.0-10.0-1.0","57ce74a271536c00015f12ed","B2","batch2","","2920","tol_toboard","","","","tol_peg_3","2920","2920","0","[[1,0,0],[3,0],[2]]","1","[[1,3,0],[2,0],[0]]","0","0","","","","","","3","","","","","","","","",""
"","","","","","single-stim-button","26","318668","0.0-2.0-10.1-0.1","57ce74a271536c00015f12ed","B2","batch2","","732","tol_tohand","","","","tol_peg_2","732","732","0","[[1,0,0],[0,0],[2]]","2","[[1,3,0],[2,0],[0]]","0","0","","","","","","3","","","","","","","","",""
"","","","","","single-stim-button","27","319496","0.0-2.0-10.1-1.1","57ce74a271536c00015f12ed","B2","batch2","","827","tol_toboard","","","","tol_peg_1","827","827","0","[[1,3,0],[0,0],[2]]","2","[[1,3,0],[2,0],[0]]","0","0","","","","","","3","","","","","","","","",""
"","","","","","single-stim-button","28","322018","0.0-2.0-10.2-0.2","57ce74a271536c00015f12ed","B2","batch2","","2521","tol_tohand","","","","tol_peg_3","2521","2521","0","[[1,3,0],[0,0],[0]]","3","[[1,3,0],[2,0],[0]]","0","0","","","","","","3","","","","","","","","",""
"","","","","","single-stim-button","29","322814","0.0-2.0-10.2-1.2","57ce74a271536c00015f12ed","B2","batch2","","795","tol_toboard","","","","tol_peg_2","795","795","0","[[1,3,0],[2,0],[0]]","3","[[1,3,0],[2,0],[0]]","0","0","","","","","","3","","","","","","","","",""
"","","","","","poldrack-single-stim","30","323815","0.0-2.0-11.0","57ce74a271536c00015f12ed","B2","batch2","","-1","tol_feedback","","","true","","1000","1000","500","","","","","","-1","none","true","21918","25171","","","","","","","","","",""
"","","","","","html-button-response","31","324526","0.0-2.0-12.0","57ce74a271536c00015f12ed","B2","batch2","","710.2999999821186","tol_trial_num","<div class = centerbox><p class = center-block-text>problem <strong>2</strong> out of 25 problems</p></div>","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","single-stim-button","32","330804","0.0-2.0-13.0-0.0","57ce74a271536c00015f12ed","B2","batch2","","6278","tol_tohand","","","","tol_peg_1","6278","6278","0","[[1,0,0],[3,0],[0]]","1","[[2,1,3],[0,0],[0]]","1","0","","","","","","5","","","","","","","","",""
"","","","","","single-stim-button","33","331701","0.0-2.0-13.0-1.0","57ce74a271536c00015f12ed","B2","batch2","","896","tol_toboard","","","","tol_peg_3","896","896","0","[[1,0,0],[3,0],[2]]","1","[[2,1,3],[0,0],[0]]","1","0","","","","","","5","","","","","","","","",""
"","","","","","single-stim-button","34","337920","0.0-2.0-13.1-0.1","57ce74a271536c00015f12ed","B2","batch2","","6216","tol_tohand","","","","tol_peg_1","6216","6216","0","[[0,0,0],[3,0],[2]]","2","[[2,1,3],[0,0],[0]]","1","0","","","","","","5","","","","","","","","",""
"","","","","","single-stim-button","35","338623","0.0-2.0-13.1-1.1","57ce74a271536c00015f12ed","B2","batch2","","703","tol_toboard","","","","tol_peg_2","703","703","0","[[0,0,0],[3,1],[2]]","2","[[2,1,3],[0,0],[0]]","1","0","","","","","","5","","","","","","","","",""
"","","","","","single-stim-button","36","339513","0.0-2.0-13.2-0.2","57ce74a271536c00015f12ed","B2","batch2","","889","tol_tohand","","","","tol_peg_3","889","889","0","[[0,0,0],[3,1],[0]]","3","[[2,1,3],[0,0],[0]]","1","0","","","","","","5","","","","","","","","",""
"","","","","","single-stim-button","37","340443","0.0-2.0-13.2-1.2","57ce74a271536c00015f12ed","B2","batch2","","929","tol_toboard","","","","tol_peg_1","929","929","0","[[2,0,0],[3,1],[0]]","3","[[2,1,3],[0,0],[0]]","1","0","","","","","","5","","","","","","","","",""
"","","","","","single-stim-button","38","341059","0.0-2.0-13.3-0.3","57ce74a271536c00015f12ed","B2","batch2","","615","tol_tohand","","","","tol_peg_2","615","615","0","[[2,0,0],[3,0],[0]]","4","[[2,1,3],[0,0],[0]]","1","0","","","","","","5","","","","","","","","",""
"","","","","","single-stim-button","39","341756","0.0-2.0-13.3-1.3","57ce74a271536c00015f12ed","B2","batch2","","696","tol_toboard","","","","tol_peg_1","696","696","0","[[2,1,0],[3,0],[0]]","4","[[2,1,3],[0,0],[0]]","1","0","","","","","","5","","","","","","","","",""
"","","","","","single-stim-button","40","342239","0.0-2.0-13.4-0.4","57ce74a271536c00015f12ed","B2","batch2","","482","tol_tohand","","","","tol_peg_2","482","482","0","[[2,1,0],[0,0],[0]]","5","[[2,1,3],[0,0],[0]]","1","0","","","","","","5","","","","","","","","",""
"","","","","","single-stim-button","41","342864","0.0-2.0-13.4-1.4","57ce74a271536c00015f12ed","B2","batch2","","623","tol_toboard","","","","tol_peg_1","623","623","0","[[2,1,3],[0,0],[0]]","5","[[2,1,3],[0,0],[0]]","1","0","","","","","","5","","","","","","","","",""
"","","","","","poldrack-single-stim","42","343866","0.0-2.0-14.0","57ce74a271536c00015f12ed","B2","batch2","","-1","tol_feedback","","","true","","1000","1000","500","","","","","","-1","none","true","6278","14480","","","","","","","","","",""
"","","","","","html-button-response","43","344615","0.0-2.0-15.0","57ce74a271536c00015f12ed","B2","batch2","","747.7000000178814","tol_trial_num","<div class = centerbox><p class = center-block-text>problem <strong>3</strong> out of 25 problems</p></div>","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","single-stim-button","44","356971","0.0-2.0-16.0-0.0","57ce74a271536c00015f12ed","B2","batch2","","12356","tol_tohand","","","","tol_peg_1","12356","12356","0","[[2,0,0],[0,0],[1]]","1","[[1,2,0],[3,0],[0]]","2","0","","","","","","4","","","","","","","","",""
"","","","","","single-stim-button","45","357886","0.0-2.0-16.0-1.0","57ce74a271536c00015f12ed","B2","batch2","","913","tol_toboard","","","","tol_peg_2","913","913","0","[[2,0,0],[3,0],[1]]","1","[[1,2,0],[3,0],[0]]","2","0","","","","","","4","","","","","","","","",""
"","","","","","single-stim-button","46","361423","0.0-2.0-16.1-0.1","57ce74a271536c00015f12ed","B2","batch2","","3537","tol_tohand","","","","tol_peg_1","3537","3537","0","[[0,0,0],[3,0],[1]]","2","[[1,2,0],[3,0],[0]]","2","0","","","","","","4","","","","","","","","",""
"","","","","","single-stim-button","47","362088","0.0-2.0-16.1-1.1","57ce74a271536c00015f12ed","B2","batch2","","663","tol_toboard","","","","tol_peg_2","663","663","0","[[0,0,0],[3,2],[1]]","2","[[1,2,0],[3,0],[0]]","2","0","","","","","","4","","","","","","","","",""
"","","","","","single-stim-button","48","363103","0.0-2.0-16.2-0.2","57ce74a271536c00015f12ed","B2","batch2","","1014","tol_tohand","","","","tol_peg_3","1014","1014","0","[[0,0,0],[3,2],[0]]","3","[[1,2,0],[3,0],[0]]","2","0","","","","","","4","","","","","","","","",""
"","","","","","single-stim-button","49","364321","0.0-2.0-16.2-1.2","57ce74a271536c00015f12ed","B2","batch2","","1217","tol_toboard","","","","tol_peg_1","1217","1217","0","[[1,0,0],[3,2],[0]]","3","[[1,2,0],[3,0],[0]]","2","0","","","","","","4","","","","","","","","",""
"","","","","","single-stim-button","50","364674","0.0-2.0-16.3-0.3","57ce74a271536c00015f12ed","B2","batch2","","351","tol_tohand","","","","tol_peg_2","351","351","0","[[1,0,0],[3,0],[0]]","4","[[1,2,0],[3,0],[0]]","2","0","","","","","","4","","","","","","","","",""
"","","","","","single-stim-button","51","365158","0.0-2.0-16.3-1.3","57ce74a271536c00015f12ed","B2","batch2","","483","tol_toboard","","","","tol_peg_1","483","483","0","[[1,2,0],[3,0],[0]]","4","[[1,2,0],[3,0],[0]]","2","0","","","","","","4","","","","","","","","",""
"","","","","","poldrack-single-stim","52","366160","0.0-2.0-17.0","57ce74a271536c00015f12ed","B2","batch2","","-1","tol_feedback","","","true","","1000","1000","500","","","","","","-1","none","true","12356","17258","","","","","","","","","",""
"","","","","","html-button-response","53","366830","0.0-2.0-18.0","57ce74a271536c00015f12ed","B2","batch2","","668.7999999821186","tol_trial_num","<div class = centerbox><p class = center-block-text>problem <strong>4</strong> out of 25 problems</p></div>","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","single-stim-button","54","371719","0.0-2.0-19.0-0.0","57ce74a271536c00015f12ed","B2","batch2","","4889","tol_tohand","","","","tol_peg_2","4889","4889","0","[[3,0,0],[2,0],[0]]","1","[[3,0,0],[1,0],[2]]","3","0","","","","","","3","","","","","","","","",""
"","","","","","single-stim-button","55","372954","0.0-2.0-19.0-1.0","57ce74a271536c00015f12ed","B2","batch2","","1234","tol_toboard","","","","tol_peg_1","1234","1234","0","[[3,1,0],[2,0],[0]]","1","[[3,0,0],[1,0],[2]]","3","0","","","","","","3","","","","","","","","",""
"","","","","","single-stim-button","56","373446","0.0-2.0-19.1-0.1","57ce74a271536c00015f12ed","B2","batch2","","490","tol_tohand","","","","tol_peg_2","490","490","0","[[3,1,0],[0,0],[0]]","2","[[3,0,0],[1,0],[2]]","3","0","","","","","","3","","","","","","","","",""
"","","","","","single-stim-button","57","374860","0.0-2.0-19.1-1.1","57ce74a271536c00015f12ed","B2","batch2","","1414","tol_toboard","","","","tol_peg_3","1414","1414","0","[[3,1,0],[0,0],[2]]","2","[[3,0,0],[1,0],[2]]","3","0","","","","","","3","","","","","","","","",""
"","","","","","single-stim-button","58","375345","0.0-2.0-19.2-0.2","57ce74a271536c00015f12ed","B2","batch2","","484","tol_tohand","","","","tol_peg_1","484","484","0","[[3,0,0],[0,0],[2]]","3","[[3,0,0],[1,0],[2]]","3","0","","","","","","3","","","","","","","","",""
"","","","","","single-stim-button","59","376071","0.0-2.0-19.2-1.2","57ce74a271536c00015f12ed","B2","batch2","","725","tol_toboard","","","","tol_peg_2","725","725","0","[[3,0,0],[1,0],[2]]","3","[[3,0,0],[1,0],[2]]","3","0","","","","","","3","","","","","","","","",""
"","","","","","poldrack-single-stim","60","377073","0.0-2.0-20.0","57ce74a271536c00015f12ed","B2","batch2","","-1","tol_feedback","","","true","","1000","1000","500","","","","","","-1","none","true","4889","5863","","","","","","","","","",""
"","","","","","html-button-response","61","377749","0.0-2.0-21.0","57ce74a271536c00015f12ed","B2","batch2","","675.4000000059605","tol_trial_num","<div class = centerbox><p class = center-block-text>problem <strong>5</strong> out of 25 problems</p></div>","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","single-stim-button","62","387696","0.0-2.0-22.0-0.0","57ce74a271536c00015f12ed","B2","batch2","","9945","tol_tohand","","","","tol_peg_1","9945","9945","0","[[0,0,0],[2,0],[3]]","1","[[0,0,0],[1,2],[3]]","4","0","","","","","","7","","","","","","","","",""
"","","","","","single-stim-button","63","396539","0.0-2.0-22.0-1.0","57ce74a271536c00015f12ed","B2","batch2","","8843","tol_toboard","","","","tol_peg_2","8843","8843","0","[[0,0,0],[2,1],[3]]","1","[[0,0,0],[1,2],[3]]","4","0","","","","","","7","","","","","","","","",""
"","","","","","single-stim-button","64","397195","0.0-2.0-22.1-0.1","57ce74a271536c00015f12ed","B2","batch2","","655","tol_tohand","","","","tol_peg_3","655","655","0","[[0,0,0],[2,1],[0]]","2","[[0,0,0],[1,2],[3]]","4","0","","","","","","7","","","","","","","","",""
"","","","","","single-stim-button","65","397951","0.0-2.0-22.1-1.1","57ce74a271536c00015f12ed","B2","batch2","","755","tol_toboard","","","","tol_peg_1","755","755","0","[[3,0,0],[2,1],[0]]","2","[[0,0,0],[1,2],[3]]","4","0","","","","","","7","","","","","","","","",""
"","","","","","single-stim-button","66","399655","0.0-2.0-22.2-0.2","57ce74a271536c00015f12ed","B2","batch2","","1704","tol_tohand","","","","tol_peg_2","1704","1704","0","[[3,0,0],[2,0],[0]]","3","[[0,0,0],[1,2],[3]]","4","0","","","","","","7","","","","","","","","",""
"","","","","","single-stim-button","67","400249","0.0-2.0-22.2-1.2","57ce74a271536c00015f12ed","B2","batch2","","593","tol_toboard","","","","tol_peg_3","593","593","0","[[3,0,0],[2,0],[1]]","3","[[0,0,0],[1,2],[3]]","4","0","","","","","","7","","","","","","","","",""
"","","","","","single-stim-button","68","412537","0.0-2.0-22.3-0.3","57ce74a271536c00015f12ed","B2","batch2","","12288","tol_tohand","","","","tol_peg_2","12288","12288","0","[[3,0,0],[0,0],[1]]","4","[[0,0,0],[1,2],[3]]","4","0","","","","","","7","","","","","","","","",""
"","","","","","single-stim-button","69","413553","0.0-2.0-22.3-1.3","57ce74a271536c00015f12ed","B2","batch2","","1015","tol_toboard","","","","tol_peg_1","1015","1015","0","[[3,2,0],[0,0],[1]]","4","[[0,0,0],[1,2],[3]]","4","0","","","","","","7","","","","","","","","",""
"","","","","","single-stim-button","70","414231","0.0-2.0-22.4-0.4","57ce74a271536c00015f12ed","B2","batch2","","676","tol_tohand","","","","tol_peg_3","676","676","0","[[3,2,0],[0,0],[0]]","5","[[0,0,0],[1,2],[3]]","4","0","","","","","","7","","","","","","","","",""
"","","","","","single-stim-button","71","414997","0.0-2.0-22.4-1.4","57ce74a271536c00015f12ed","B2","batch2","","766","tol_toboard","","","","tol_peg_2","766","766","0","[[3,2,0],[1,0],[0]]","5","[[0,0,0],[1,2],[3]]","4","0","","","","","","7","","","","","","","","",""
"","","","","","single-stim-button","72","416028","0.0-2.0-22.5-0.5","57ce74a271536c00015f12ed","B2","batch2","","1029","tol_tohand","","","","tol_peg_1","1029","1029","0","[[3,0,0],[1,0],[0]]","6","[[0,0,0],[1,2],[3]]","4","0","","","","","","7","","","","","","","","",""
"","","","","","single-stim-button","73","416629","0.0-2.0-22.5-1.5","57ce74a271536c00015f12ed","B2","batch2","","601","tol_toboard","","","","tol_peg_2","601","601","0","[[3,0,0],[1,2],[0]]","6","[[0,0,0],[1,2],[3]]","4","0","","","","","","7","","","","","","","","",""
"","","","","","single-stim-button","74","417191","0.0-2.0-22.6-0.6","57ce74a271536c00015f12ed","B2","batch2","","561","tol_tohand","","","","tol_peg_1","561","561","0","[[0,0,0],[1,2],[0]]","7","[[0,0,0],[1,2],[3]]","4","0","","","","","","7","","","","","","","","",""
"","","","","","single-stim-button","75","418059","0.0-2.0-22.6-1.6","57ce74a271536c00015f12ed","B2","batch2","","867","tol_toboard","","","","tol_peg_3","867","867","0","[[0,0,0],[1,2],[3]]","7","[[0,0,0],[1,2],[3]]","4","0","","","","","","7","","","","","","","","",""
"","","","","","poldrack-single-stim","76","419062","0.0-2.0-23.0","57ce74a271536c00015f12ed","B2","batch2","","-1","tol_feedback","","","true","","1000","1000","500","","","","","","-1","none","true","9945","26858","","","","","","","","","",""
"","","","","","html-button-response","77","419715","0.0-2.0-24.0","57ce74a271536c00015f12ed","B2","batch2","","652.8000000119209","tol_trial_num","<div class = centerbox><p class = center-block-text>problem <strong>6</strong> out of 25 problems</p></div>","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","single-stim-button","78","434635","0.0-2.0-25.0-0.0","57ce74a271536c00015f12ed","B2","batch2","","14919","tol_tohand","","","","tol_peg_2","14919","14919","0","[[0,0,0],[1,0],[3]]","1","[[1,0,0],[2,3],[0]]","5","0","","","","","","6","","","","","","","","",""
"","","","","","single-stim-button","79","445383","0.0-2.0-25.0-1.0","57ce74a271536c00015f12ed","B2","batch2","","10748","tol_toboard","","","","tol_peg_2","10748","10748","0","[[0,0,0],[1,2],[3]]","1","[[1,0,0],[2,3],[0]]","5","0","","","","","","6","","","","","","","","",""
"","","","","","single-stim-button","80","446171","0.0-2.0-25.1-0.1","57ce74a271536c00015f12ed","B2","batch2","","787","tol_tohand","","","","tol_peg_3","787","787","0","[[0,0,0],[1,2],[0]]","2","[[1,0,0],[2,3],[0]]","5","0","","","","","","6","","","","","","","","",""
"","","","","","single-stim-button","81","447405","0.0-2.0-25.1-1.1","57ce74a271536c00015f12ed","B2","batch2","","1233","tol_toboard","","","","tol_peg_1","1233","1233","0","[[3,0,0],[1,2],[0]]","2","[[1,0,0],[2,3],[0]]","5","0","","","","","","6","","","","","","","","",""
"","","","","","single-stim-button","82","448389","0.0-2.0-25.2-0.2","57ce74a271536c00015f12ed","B2","batch2","","983","tol_tohand","","","","tol_peg_2","983","983","0","[[3,0,0],[1,0],[0]]","3","[[1,0,0],[2,3],[0]]","5","0","","","","","","6","","","","","","","","",""
"","","","","","single-stim-button","83","449069","0.0-2.0-25.2-1.2","57ce74a271536c00015f12ed","B2","batch2","","679","tol_toboard","","","","tol_peg_3","679","679","0","[[3,0,0],[1,0],[2]]","3","[[1,0,0],[2,3],[0]]","5","0","","","","","","6","","","","","","","","",""
"","","","","","single-stim-button","84","462035","0.0-2.0-25.3-0.3","57ce74a271536c00015f12ed","B2","batch2","","12966","tol_tohand","","","","tol_peg_1","12966","12966","0","[[0,0,0],[1,0],[2]]","4","[[1,0,0],[2,3],[0]]","5","0","","","","","","6","","","","","","","","",""
"","","","","","single-stim-button","85","462732","0.0-2.0-25.3-1.3","57ce74a271536c00015f12ed","B2","batch2","","695","tol_toboard","","","","tol_peg_2","695","695","0","[[0,0,0],[1,3],[2]]","4","[[1,0,0],[2,3],[0]]","5","0","","","","","","6","","","","","","","","",""
"","","","","","single-stim-button","86","464965","0.0-2.0-25.4-0.4","57ce74a271536c00015f12ed","B2","batch2","","2233","tol_tohand","","","","tol_peg_3","2233","2233","0","[[0,0,0],[1,3],[0]]","5","[[1,0,0],[2,3],[0]]","5","0","","","","","","6","","","","","","","","",""
"","","","","","single-stim-button","87","465755","0.0-2.0-25.4-1.4","57ce74a271536c00015f12ed","B2","batch2","","789","tol_toboard","","","","tol_peg_1","789","789","0","[[2,0,0],[1,3],[0]]","5","[[1,0,0],[2,3],[0]]","5","0","","","","","","6","","","","","","","","",""
"","","","","","single-stim-button","88","472879","0.0-2.0-25.5-0.5","57ce74a271536c00015f12ed","B2","batch2","","7123","tol_tohand","","","","tol_peg_2","7123","7123","0","[[2,0,0],[1,0],[0]]","6","[[1,0,0],[2,3],[0]]","5","0","","","","","","6","","","","","","","","",""
"","","","","","single-stim-button","89","473489","0.0-2.0-25.5-1.5","57ce74a271536c00015f12ed","B2","batch2","","609","tol_toboard","","","","tol_peg_3","609","609","0","[[2,0,0],[1,0],[3]]","6","[[1,0,0],[2,3],[0]]","5","0","","","","","","6","","","","","","","","",""
"","","","","","single-stim-button","90","479855","0.0-2.0-25.6-0.6","57ce74a271536c00015f12ed","B2","batch2","","6365","tol_tohand","","","","tol_peg_1","6365","6365","0","[[0,0,0],[1,0],[3]]","7","[[1,0,0],[2,3],[0]]","5","0","","","","","","6","","","","","","","","",""
"","","","","","single-stim-button","91","483237","0.0-2.0-25.6-1.6","57ce74a271536c00015f12ed","B2","batch2","","3381","tol_toboard","","","","tol_peg_2","3381","3381","0","[[0,0,0],[1,2],[3]]","7","[[1,0,0],[2,3],[0]]","5","0","","","","","","6","","","","","","","","",""
"","","","","","single-stim-button","92","484095","0.0-2.0-25.7-0.7","57ce74a271536c00015f12ed","B2","batch2","","857","tol_tohand","","","","tol_peg_2","857","857","0","[[0,0,0],[1,0],[3]]","8","[[1,0,0],[2,3],[0]]","5","0","","","","","","6","","","","","","","","",""
"","","","","","single-stim-button","93","485399","0.0-2.0-25.7-1.7","57ce74a271536c00015f12ed","B2","batch2","","1303","tol_toboard","","","","tol_peg_2","1303","1303","0","[[0,0,0],[1,2],[3]]","8","[[1,0,0],[2,3],[0]]","5","0","","","","","","6","","","","","","","","",""
"","","","","","single-stim-button","94","488461","0.0-2.0-25.8-0.8","57ce74a271536c00015f12ed","B2","batch2","","3061","tol_tohand","","","","tol_peg_3","3061","3061","0","[[0,0,0],[1,2],[0]]","9","[[1,0,0],[2,3],[0]]","5","0","","","","","","6","","","","","","","","",""
"","","","","","single-stim-button","95","490375","0.0-2.0-25.8-1.8","57ce74a271536c00015f12ed","B2","batch2","","1913","tol_toboard","","","","tol_peg_1","1913","1913","0","[[3,0,0],[1,2],[0]]","9","[[1,0,0],[2,3],[0]]","5","0","","","","","","6","","","","","","","","",""
"","","","","","single-stim-button","96","494141","0.0-2.0-25.9-0.9","57ce74a271536c00015f12ed","B2","batch2","","3765","tol_tohand","","","","tol_peg_2","3765","3765","0","[[3,0,0],[1,0],[0]]","10","[[1,0,0],[2,3],[0]]","5","0","","","","","","6","","","","","","","","",""
"","","","","","single-stim-button","97","496047","0.0-2.0-25.9-1.9","57ce74a271536c00015f12ed","B2","batch2","","1905","tol_toboard","","","","tol_peg_3","1905","1905","0","[[3,0,0],[1,0],[2]]","10","[[1,0,0],[2,3],[0]]","5","0","","","","","","6","","","","","","","","",""
