"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","view_history","rt","task","stimulus","response","correct","mouse_click","stim_duration","block_duration","timing_post_trial","current_position","tol_num_moves_made","tol_target","tol_problem_id","tol_rt","key_press","possible_responses","tol_correct","preplanning","tol_rt_per_trial","tol_min_moves","answer","item","fiar_detect_rt","fiar_detect_correct","total_correct_fiar_detect","post_trial_gap","choices","spm_correct","spm_rt"
"true","false","[]","[]","[]","preload","0","1483","0.0-0.0","5b23e3a26137550001a42101","A3","batch1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","1","117615","0.0-1.0-0.0","5b23e3a26137550001a42101","A3","batch1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","2","120055","0.0-2.0-0.0","5b23e3a26137550001a42101","A3","batch1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","instructions","3","171790","0.0-2.0-1.0-0.0-0.0","5b23e3a26137550001a42101","A3","batch1","[{""page_index"":0,""viewing_time"":8470.300000011921},{""page_index"":1,""viewing_time"":6024},{""page_index"":2,""viewing_time"":5688},{""page_index"":3,""viewing_time"":7784},{""page_index"":4,""viewing_time"":5128.0999999940395},{""page_index"":5,""viewing_time"":16128.09999999404},{""page_index"":6,""viewing_time"":2511.9000000059605}]","51734.59999999404","tol-instructions","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","4","172686","0.0-2.0-1.0-1.0-0.0","5b23e3a26137550001a42101","A3","batch1","","895.0999999940395","tol_enter_quiz","<p class=block-text> Let's answer a few questions <br>","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","5","175990","0.0-2.0-1.0-1.0-1.0","5b23e3a26137550001a42101","A3","batch1","","3303.0999999940395","tol_quiz","<p class = block-text>True or False: You can only move the ball on top of a peg. <br></p>","0","true","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","6","176766","0.0-2.0-1.0-1.0-2.0","5b23e3a26137550001a42101","A3","batch1","","775","tol_quiz_feedback","<p class = block-text>Correct! You can only move the ball on top of a peg.</p>","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","7","179214","0.0-2.0-1.0-1.0-3.0","5b23e3a26137550001a42101","A3","batch1","","2447.199999988079","tol_quiz","<p class = block-text>True or False: You should try to match your board with the target board with fewest moves possible. <br></p>","0","true","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","8","179886","0.0-2.0-1.0-1.0-4.0","5b23e3a26137550001a42101","A3","batch1","","671.3000000119209","tol_quiz_feedback","<p class = block-text>Correct! </p>","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","9","180782","0.0-2.0-2.0","5b23e3a26137550001a42101","A3","batch1","","895","","<p class=block-text> Now that you've understood the game, let's practice a few easier examples before we start!<br> <br>","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","single-stim-button","10","183591","0.0-2.0-3.0-0.0","5b23e3a26137550001a42101","A3","batch1","","2807","tol_practice","","","","tol_peg_2","2807","2807","0","[[1,2,0],[0,0],[0]]","1","[[1,2,0],[0,0],[3]]","practice","2807","","","","","","","","","","","","","","",""
"","","","","","single-stim-button","11","184414","0.0-2.0-3.0-1.0","5b23e3a26137550001a42101","A3","batch1","","822","tol_practice","","","","tol_peg_3","822","822","0","[[1,2,0],[0,0],[3]]","1","[[1,2,0],[0,0],[3]]","practice","822","","","","","","","","","","","","","","",""
"","","","","","poldrack-single-stim","12","185430","0.0-2.0-4.0","5b23e3a26137550001a42101","A3","batch1","","-1","tol_feedback","","","true","","1000","1000","500","","","","","","-1","none","true","","0","","","","","","","","","",""
"","","","","","single-stim-button","13","188062","0.0-2.0-5.0-0.0","5b23e3a26137550001a42101","A3","batch1","","2631","tol_practice","","","","tol_peg_1","2631","2631","0","[[1,0,0],[3,0],[0]]","2","[[0,0,0],[3,1],[2]]","practice","2631","","","","","","","","","","","","","","",""
"","","","","","single-stim-button","14","188846","0.0-2.0-5.0-1.0","5b23e3a26137550001a42101","A3","batch1","","784","tol_practice","","","","tol_peg_3","784","784","0","[[1,0,0],[3,0],[2]]","2","[[0,0,0],[3,1],[2]]","practice","784","","","","","","","","","","","","","","",""
"","","","","","single-stim-button","15","189566","0.0-2.0-5.1-0.1","5b23e3a26137550001a42101","A3","batch1","","719","tol_practice","","","","tol_peg_1","719","719","0","[[0,0,0],[3,0],[2]]","3","[[0,0,0],[3,1],[2]]","practice","719","","","","","","","","","","","","","","",""
"","","","","","single-stim-button","16","190022","0.0-2.0-5.1-1.1","5b23e3a26137550001a42101","A3","batch1","","456","tol_practice","","","","tol_peg_2","456","456","0","[[0,0,0],[3,1],[2]]","3","[[0,0,0],[3,1],[2]]","practice","456","","","","","","","","","","","","","","",""
"","","","","","poldrack-single-stim","17","191036","0.0-2.0-6.0","5b23e3a26137550001a42101","A3","batch1","","-1","tol_feedback","","","true","","1000","1000","500","","","","","","-1","none","true","","0","","","","","","","","","",""
"","","","","","single-stim-button","18","193222","0.0-2.0-7.0-0.0","5b23e3a26137550001a42101","A3","batch1","","2186","tol_practice","","","","tol_peg_2","2186","2186","0","[[1,2,0],[0,0],[0]]","4","[[1,0,0],[2,0],[3]]","practice","2186","","","","","","","","","","","","","","",""
"","","","","","single-stim-button","19","193918","0.0-2.0-7.0-1.0","5b23e3a26137550001a42101","A3","batch1","","696","tol_practice","","","","tol_peg_3","696","696","0","[[1,2,0],[0,0],[3]]","4","[[1,0,0],[2,0],[3]]","practice","696","","","","","","","","","","","","","","",""
"","","","","","single-stim-button","20","194382","0.0-2.0-7.1-0.1","5b23e3a26137550001a42101","A3","batch1","","464","tol_practice","","","","tol_peg_1","464","464","0","[[1,0,0],[0,0],[3]]","5","[[1,0,0],[2,0],[3]]","practice","464","","","","","","","","","","","","","","",""
"","","","","","single-stim-button","21","194998","0.0-2.0-7.1-1.1","5b23e3a26137550001a42101","A3","batch1","","616","tol_practice","","","","tol_peg_2","616","616","0","[[1,0,0],[2,0],[3]]","5","[[1,0,0],[2,0],[3]]","practice","616","","","","","","","","","","","","","","",""
"","","","","","poldrack-single-stim","22","196001","0.0-2.0-8.0","5b23e3a26137550001a42101","A3","batch1","","-1","tol_feedback","","","true","","1000","1000","500","","","","","","-1","none","true","","0","","","","","","","","","",""
"","","","","","html-button-response","23","197134","0.0-2.0-9.0","5b23e3a26137550001a42101","A3","batch1","","1132.0999999940395","tol_instruction","<div class = centerbox><p class = center-block-text>Great job! You are done with practice trials<br>You are about to start official trials.<br> <br> Problem <strong>1</strong> out of 25 problems</p></div>","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","single-stim-button","24","202686","0.0-2.0-10.0-0.0","5b23e3a26137550001a42101","A3","batch1","","4550","tol_tohand","","","","tol_peg_1","4550","4550","0","[[1,0,0],[3,0],[0]]","1","[[1,3,0],[2,0],[0]]","0","0","","","","","","3","","","","","","","","",""
"","","","","","single-stim-button","25","206014","0.0-2.0-10.0-1.0","5b23e3a26137550001a42101","A3","batch1","","3327","tol_toboard","","","","tol_peg_3","3327","3327","0","[[1,0,0],[3,0],[2]]","1","[[1,3,0],[2,0],[0]]","0","0","","","","","","3","","","","","","","","",""
"","","","","","single-stim-button","26","206470","0.0-2.0-10.1-0.1","5b23e3a26137550001a42101","A3","batch1","","456","tol_tohand","","","","tol_peg_2","456","456","0","[[1,0,0],[0,0],[2]]","2","[[1,3,0],[2,0],[0]]","0","0","","","","","","3","","","","","","","","",""
"","","","","","single-stim-button","27","206982","0.0-2.0-10.1-1.1","5b23e3a26137550001a42101","A3","batch1","","512","tol_toboard","","","","tol_peg_1","512","512","0","[[1,3,0],[0,0],[2]]","2","[[1,3,0],[2,0],[0]]","0","0","","","","","","3","","","","","","","","",""
"","","","","","single-stim-button","28","207550","0.0-2.0-10.2-0.2","5b23e3a26137550001a42101","A3","batch1","","568","tol_tohand","","","","tol_peg_3","568","568","0","[[1,3,0],[0,0],[0]]","3","[[1,3,0],[2,0],[0]]","0","0","","","","","","3","","","","","","","","",""
"","","","","","single-stim-button","29","208118","0.0-2.0-10.2-1.2","5b23e3a26137550001a42101","A3","batch1","","568","tol_toboard","","","","tol_peg_2","568","568","0","[[1,3,0],[2,0],[0]]","3","[[1,3,0],[2,0],[0]]","0","0","","","","","","3","","","","","","","","",""
"","","","","","poldrack-single-stim","30","209134","0.0-2.0-11.0","5b23e3a26137550001a42101","A3","batch1","","-1","tol_feedback","","","true","","1000","1000","500","","","","","","-1","none","true","4550","5574","","","","","","","","","",""
"","","","","","html-button-response","31","209910","0.0-2.0-12.0","5b23e3a26137550001a42101","A3","batch1","","775","tol_trial_num","<div class = centerbox><p class = center-block-text>problem <strong>2</strong> out of 25 problems</p></div>","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","single-stim-button","32","212830","0.0-2.0-13.0-0.0","5b23e3a26137550001a42101","A3","batch1","","2919","tol_tohand","","","","tol_peg_1","2919","2919","0","[[1,0,0],[3,0],[0]]","1","[[2,1,3],[0,0],[0]]","1","0","","","","","","5","","","","","","","","",""
"","","","","","single-stim-button","33","213582","0.0-2.0-13.0-1.0","5b23e3a26137550001a42101","A3","batch1","","752","tol_toboard","","","","tol_peg_3","752","752","0","[[1,0,0],[3,0],[2]]","1","[[2,1,3],[0,0],[0]]","1","0","","","","","","5","","","","","","","","",""
"","","","","","single-stim-button","34","214990","0.0-2.0-13.1-0.1","5b23e3a26137550001a42101","A3","batch1","","1408","tol_tohand","","","","tol_peg_1","1408","1408","0","[[0,0,0],[3,0],[2]]","2","[[2,1,3],[0,0],[0]]","1","0","","","","","","5","","","","","","","","",""
"","","","","","single-stim-button","35","215502","0.0-2.0-13.1-1.1","5b23e3a26137550001a42101","A3","batch1","","512","tol_toboard","","","","tol_peg_2","512","512","0","[[0,0,0],[3,1],[2]]","2","[[2,1,3],[0,0],[0]]","1","0","","","","","","5","","","","","","","","",""
"","","","","","single-stim-button","36","215966","0.0-2.0-13.2-0.2","5b23e3a26137550001a42101","A3","batch1","","464","tol_tohand","","","","tol_peg_3","464","464","0","[[0,0,0],[3,1],[0]]","3","[[2,1,3],[0,0],[0]]","1","0","","","","","","5","","","","","","","","",""
"","","","","","single-stim-button","37","216534","0.0-2.0-13.2-1.2","5b23e3a26137550001a42101","A3","batch1","","568","tol_toboard","","","","tol_peg_1","568","568","0","[[2,0,0],[3,1],[0]]","3","[[2,1,3],[0,0],[0]]","1","0","","","","","","5","","","","","","","","",""
"","","","","","single-stim-button","38","217126","0.0-2.0-13.3-0.3","5b23e3a26137550001a42101","A3","batch1","","591","tol_tohand","","","","tol_peg_2","591","591","0","[[2,0,0],[3,0],[0]]","4","[[2,1,3],[0,0],[0]]","1","0","","","","","","5","","","","","","","","",""
"","","","","","single-stim-button","39","217630","0.0-2.0-13.3-1.3","5b23e3a26137550001a42101","A3","batch1","","504","tol_toboard","","","","tol_peg_1","504","504","0","[[2,1,0],[3,0],[0]]","4","[[2,1,3],[0,0],[0]]","1","0","","","","","","5","","","","","","","","",""
"","","","","","single-stim-button","40","218110","0.0-2.0-13.4-0.4","5b23e3a26137550001a42101","A3","batch1","","480","tol_tohand","","","","tol_peg_2","480","480","0","[[2,1,0],[0,0],[0]]","5","[[2,1,3],[0,0],[0]]","1","0","","","","","","5","","","","","","","","",""
"","","","","","single-stim-button","41","218718","0.0-2.0-13.4-1.4","5b23e3a26137550001a42101","A3","batch1","","608","tol_toboard","","","","tol_peg_1","608","608","0","[[2,1,3],[0,0],[0]]","5","[[2,1,3],[0,0],[0]]","1","0","","","","","","5","","","","","","","","",""
"","","","","","poldrack-single-stim","42","219720","0.0-2.0-14.0","5b23e3a26137550001a42101","A3","batch1","","-1","tol_feedback","","","true","","1000","1000","500","","","","","","-1","none","true","2919","5862","","","","","","","","","",""
"","","","","","html-button-response","43","220678","0.0-2.0-15.0","5b23e3a26137550001a42101","A3","batch1","","957","tol_trial_num","<div class = centerbox><p class = center-block-text>problem <strong>3</strong> out of 25 problems</p></div>","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","single-stim-button","44","223774","0.0-2.0-16.0-0.0","5b23e3a26137550001a42101","A3","batch1","","3095","tol_tohand","","","","tol_peg_1","3095","3095","0","[[2,0,0],[0,0],[1]]","1","[[1,2,0],[3,0],[0]]","2","0","","","","","","4","","","","","","","","",""
"","","","","","single-stim-button","45","224414","0.0-2.0-16.0-1.0","5b23e3a26137550001a42101","A3","batch1","","640","tol_toboard","","","","tol_peg_2","640","640","0","[[2,0,0],[3,0],[1]]","1","[[1,2,0],[3,0],[0]]","2","0","","","","","","4","","","","","","","","",""
"","","","","","single-stim-button","46","224998","0.0-2.0-16.1-0.1","5b23e3a26137550001a42101","A3","batch1","","584","tol_tohand","","","","tol_peg_1","584","584","0","[[0,0,0],[3,0],[1]]","2","[[1,2,0],[3,0],[0]]","2","0","","","","","","4","","","","","","","","",""
"","","","","","single-stim-button","47","225414","0.0-2.0-16.1-1.1","5b23e3a26137550001a42101","A3","batch1","","416","tol_toboard","","","","tol_peg_2","416","416","0","[[0,0,0],[3,2],[1]]","2","[[1,2,0],[3,0],[0]]","2","0","","","","","","4","","","","","","","","",""
"","","","","","single-stim-button","48","225990","0.0-2.0-16.2-0.2","5b23e3a26137550001a42101","A3","batch1","","576","tol_tohand","","","","tol_peg_3","576","576","0","[[0,0,0],[3,2],[0]]","3","[[1,2,0],[3,0],[0]]","2","0","","","","","","4","","","","","","","","",""
"","","","","","single-stim-button","49","226430","0.0-2.0-16.2-1.2","5b23e3a26137550001a42101","A3","batch1","","440","tol_toboard","","","","tol_peg_1","440","440","0","[[1,0,0],[3,2],[0]]","3","[[1,2,0],[3,0],[0]]","2","0","","","","","","4","","","","","","","","",""
"","","","","","single-stim-button","50","226854","0.0-2.0-16.3-0.3","5b23e3a26137550001a42101","A3","batch1","","424","tol_tohand","","","","tol_peg_2","424","424","0","[[1,0,0],[3,0],[0]]","4","[[1,2,0],[3,0],[0]]","2","0","","","","","","4","","","","","","","","",""
"","","","","","single-stim-button","51","227230","0.0-2.0-16.3-1.3","5b23e3a26137550001a42101","A3","batch1","","376","tol_toboard","","","","tol_peg_1","376","376","0","[[1,2,0],[3,0],[0]]","4","[[1,2,0],[3,0],[0]]","2","0","","","","","","4","","","","","","","","",""
"","","","","","poldrack-single-stim","52","228232","0.0-2.0-17.0","5b23e3a26137550001a42101","A3","batch1","","-1","tol_feedback","","","true","","1000","1000","500","","","","","","-1","none","true","3095","4679","","","","","","","","","",""
"","","","","","html-button-response","53","228966","0.0-2.0-18.0","5b23e3a26137550001a42101","A3","batch1","","733.2000000178814","tol_trial_num","<div class = centerbox><p class = center-block-text>problem <strong>4</strong> out of 25 problems</p></div>","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","single-stim-button","54","232319","0.0-2.0-19.0-0.0","5b23e3a26137550001a42101","A3","batch1","","3353","tol_tohand","","","","tol_peg_2","3353","3353","0","[[3,0,0],[2,0],[0]]","1","[[3,0,0],[1,0],[2]]","3","0","","","","","","3","","","","","","","","",""
"","","","","","single-stim-button","55","232934","0.0-2.0-19.0-1.0","5b23e3a26137550001a42101","A3","batch1","","615","tol_toboard","","","","tol_peg_1","615","615","0","[[3,1,0],[2,0],[0]]","1","[[3,0,0],[1,0],[2]]","3","0","","","","","","3","","","","","","","","",""
"","","","","","single-stim-button","56","233454","0.0-2.0-19.1-0.1","5b23e3a26137550001a42101","A3","batch1","","520","tol_tohand","","","","tol_peg_2","520","520","0","[[3,1,0],[0,0],[0]]","2","[[3,0,0],[1,0],[2]]","3","0","","","","","","3","","","","","","","","",""
"","","","","","single-stim-button","57","234030","0.0-2.0-19.1-1.1","5b23e3a26137550001a42101","A3","batch1","","576","tol_toboard","","","","tol_peg_3","576","576","0","[[3,1,0],[0,0],[2]]","2","[[3,0,0],[1,0],[2]]","3","0","","","","","","3","","","","","","","","",""
"","","","","","single-stim-button","58","234703","0.0-2.0-19.2-0.2","5b23e3a26137550001a42101","A3","batch1","","672","tol_tohand","","","","tol_peg_1","672","672","0","[[3,0,0],[0,0],[2]]","3","[[3,0,0],[1,0],[2]]","3","0","","","","","","3","","","","","","","","",""
"","","","","","single-stim-button","59","235270","0.0-2.0-19.2-1.2","5b23e3a26137550001a42101","A3","batch1","","567","tol_toboard","","","","tol_peg_2","567","567","0","[[3,0,0],[1,0],[2]]","3","[[3,0,0],[1,0],[2]]","3","0","","","","","","3","","","","","","","","",""
"","","","","","poldrack-single-stim","60","236270","0.0-2.0-20.0","5b23e3a26137550001a42101","A3","batch1","","-1","tol_feedback","","","true","","1000","1000","500","","","","","","-1","none","true","3353","4545","","","","","","","","","",""
"","","","","","html-button-response","61","236822","0.0-2.0-21.0","5b23e3a26137550001a42101","A3","batch1","","550.5999999940395","tol_trial_num","<div class = centerbox><p class = center-block-text>problem <strong>5</strong> out of 25 problems</p></div>","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","single-stim-button","62","240014","0.0-2.0-22.0-0.0","5b23e3a26137550001a42101","A3","batch1","","3192","tol_tohand","","","","tol_peg_2","3192","3192","0","[[1,0,0],[0,0],[3]]","1","[[0,0,0],[1,2],[3]]","4","0","","","","","","7","","","","","","","","",""
"","","","","","single-stim-button","63","248926","0.0-2.0-22.0-1.0","5b23e3a26137550001a42101","A3","batch1","","8912","tol_toboard","","","","tol_peg_1","8912","8912","0","[[1,2,0],[0,0],[3]]","1","[[0,0,0],[1,2],[3]]","4","0","","","","","","7","","","","","","","","",""
"","","","","","single-stim-button","64","249629","0.0-2.0-22.1-0.1","5b23e3a26137550001a42101","A3","batch1","","703","tol_tohand","","","","tol_peg_3","703","703","0","[[1,2,0],[0,0],[0]]","2","[[0,0,0],[1,2],[3]]","4","0","","","","","","7","","","","","","","","",""
"","","","","","single-stim-button","65","250278","0.0-2.0-22.1-1.1","5b23e3a26137550001a42101","A3","batch1","","648","tol_toboard","","","","tol_peg_2","648","648","0","[[1,2,0],[3,0],[0]]","2","[[0,0,0],[1,2],[3]]","4","0","","","","","","7","","","","","","","","",""
"","","","","","single-stim-button","66","251294","0.0-2.0-22.2-0.2","5b23e3a26137550001a42101","A3","batch1","","1015","tol_tohand","","","","tol_peg_1","1015","1015","0","[[1,0,0],[3,0],[0]]","3","[[0,0,0],[1,2],[3]]","4","0","","","","","","7","","","","","","","","",""
"","","","","","single-stim-button","67","251942","0.0-2.0-22.2-1.2","5b23e3a26137550001a42101","A3","batch1","","647","tol_toboard","","","","tol_peg_3","647","647","0","[[1,0,0],[3,0],[2]]","3","[[0,0,0],[1,2],[3]]","4","0","","","","","","7","","","","","","","","",""
"","","","","","single-stim-button","68","254694","0.0-2.0-22.3-0.3","5b23e3a26137550001a42101","A3","batch1","","2752","tol_tohand","","","","tol_peg_2","2752","2752","0","[[1,0,0],[0,0],[2]]","4","[[0,0,0],[1,2],[3]]","4","0","","","","","","7","","","","","","","","",""
"","","","","","single-stim-button","69","255318","0.0-2.0-22.3-1.3","5b23e3a26137550001a42101","A3","batch1","","624","tol_toboard","","","","tol_peg_1","624","624","0","[[1,3,0],[0,0],[2]]","4","[[0,0,0],[1,2],[3]]","4","0","","","","","","7","","","","","","","","",""
"","","","","","single-stim-button","70","255734","0.0-2.0-22.4-0.4","5b23e3a26137550001a42101","A3","batch1","","416","tol_tohand","","","","tol_peg_3","416","416","0","[[1,3,0],[0,0],[0]]","5","[[0,0,0],[1,2],[3]]","4","0","","","","","","7","","","","","","","","",""
"","","","","","single-stim-button","71","256223","0.0-2.0-22.4-1.4","5b23e3a26137550001a42101","A3","batch1","","488","tol_toboard","","","","tol_peg_2","488","488","0","[[1,3,0],[2,0],[0]]","5","[[0,0,0],[1,2],[3]]","4","0","","","","","","7","","","","","","","","",""
