"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","task","rt","stimulus","response","item","answer","correct","spm_correct","spm_rt","view_history","fiar_detect_rt","fiar_detect_correct","total_correct_fiar_detect","post_trial_gap","choices","mouse_click","stim_duration","block_duration","timing_post_trial","current_position","tol_num_moves_made","tol_target","tol_problem_id","tol_rt","key_press","possible_responses","tol_correct","preplanning","tol_rt_per_trial","tol_min_moves"
"true","false","[]","[]","[]","preload","0","4593","0.0-0.0","5fd67cce91f9895969c0edee","B2","batch2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","1","11645","0.0-1.0-0.0","5fd67cce91f9895969c0edee","B2","batch2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","2","14804","0.0-2.0-0.0","5fd67cce91f9895969c0edee","B2","batch2","spm_fullscreen","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","3","22716","0.0-2.0-1.0","5fd67cce91f9895969c0edee","B2","batch2","","7904.199999988079","<p class = block-text><b>Instructions</b> <br>This is a widely used intelligence test in research. <br>In this test, a figure with a missing piece will be presented.<br>Below the figure are alternative pieces to complete the figure, only one of which is correct.<br> Different figures might involve different principles for obtaining the missing piece<br>Your job is to select the most logical piece to complete the figure.</p>","0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","4","23524","0.0-2.0-2.0-0.0","5fd67cce91f9895969c0edee","B2","batch2","spm_show_trial_num","null","<p class=block-text>Trial 1 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","5","32225","0.0-2.0-2.0-1.0","5fd67cce91f9895969c0edee","B2","batch2","spm_respsonse","8695.200000017881","img/question_1_1.jpeg","3","mat_01","4","1","1","8695.200000017881","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","6","33294","0.0-2.0-2.0-0.1","5fd67cce91f9895969c0edee","B2","batch2","spm_show_trial_num","null","<p class=block-text>Trial 2 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","7","38974","0.0-2.0-2.0-1.1","5fd67cce91f9895969c0edee","B2","batch2","spm_respsonse","5676.800000011921","img/question_1_2.jpeg","4","mat_02","5","1","1","5676.800000011921","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","8","40054","0.0-2.0-2.0-0.2","5fd67cce91f9895969c0edee","B2","batch2","spm_show_trial_num","null","<p class=block-text>Trial 3 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","9","43126","0.0-2.0-2.0-1.2","5fd67cce91f9895969c0edee","B2","batch2","spm_respsonse","3068.800000011921","img/question_1_3.jpeg","0","mat_03","1","1","1","3068.800000011921","","","","","","","","","","","","","","","","","","","","",""
