"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","view_history","rt","stimulus","response","task","correct","answer","item","fiar_detect_rt","fiar_detect_correct","total_correct_fiar_detect","post_trial_gap","choices","spm_correct","spm_rt","mouse_click","stim_duration","block_duration","timing_post_trial","current_position","tol_num_moves_made","tol_target","tol_problem_id","tol_rt","key_press","possible_responses","tol_correct","preplanning","tol_rt_per_trial","tol_min_moves"
"true","false","[]","[]","[]","preload","0","10920","0.0-0.0","62d2aee15e1dc6709bdcace0","C3","batch3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","1","18026","0.0-1.0-0.0","62d2aee15e1dc6709bdcace0","C3","batch3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","2","22872","0.0-2.0-0.0","62d2aee15e1dc6709bdcace0","C3","batch3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","instructions","3","77364","0.0-2.0-1.0-0.0","62d2aee15e1dc6709bdcace0","C3","batch3","[{""page_index"":0,""viewing_time"":45689.40000000596},{""page_index"":1,""viewing_time"":8797.89999999106}]","54488.20000000298","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","4","78692","0.0-2.0-1.0-1.0-0.0","62d2aee15e1dc6709bdcace0","C3","batch3","","1324.4000000059605","<p class=block-text> Let's answer a few questions <br>","0","pattern_enter_quiz","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","5","83005","0.0-2.0-1.0-1.0-1.0","62d2aee15e1dc6709bdcace0","C3","batch3","","4307.70000000298","<p class = block-text>True or False: You will have as much time as you want to make each choice. <br></p>","0","pattern_quiz","false","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","6","84895","0.0-2.0-1.0-1.0-2.0","62d2aee15e1dc6709bdcace0","C3","batch3","","1885.1000000089407","<p class = block-text>Incorrect. Remember, You should make your choice as fast as you can.</p>","0","pattern_quiz_feedback","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","7","89415","0.0-2.0-1.0-1.0-3.0","62d2aee15e1dc6709bdcace0","C3","batch3","","4516.70000000298","<p class = block-text>True or False: You will look for 4 pieces in black or white color connected in a row either horizontally, vertically or diagonally. <br></p>","0","pattern_quiz","true","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","8","90365","0.0-2.0-1.0-1.0-4.0","62d2aee15e1dc6709bdcace0","C3","batch3","","946.5999999940395","<p class = block-text>Correct! </p>","0","pattern_quiz_feedback","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","9","92565","0.0-2.0-1.0-2.0-0.0","62d2aee15e1dc6709bdcace0","C3","batch3","","2194","<p class = block-text>You made too many incorrect choices.</p><p class = block-text>You will now repeat the instruction and quiz</p>","0","","","","","","","","","","","","","","","","","","","","","","","","","",""
