"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","task","rt","stimulus","response","item","answer","correct","spm_correct","spm_rt","view_history","fiar_detect_rt","fiar_detect_correct","total_correct_fiar_detect","post_trial_gap","choices","mouse_click","stim_duration","block_duration","timing_post_trial","current_position","tol_num_moves_made","tol_target","tol_problem_id","tol_rt","key_press","possible_responses","tol_correct","preplanning","tol_rt_per_trial","tol_min_moves"
"true","false","[]","[]","[]","preload","0","4961","0.0-0.0","6277cd4fea5f69868617658b","E1","batch5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","1","8381","0.0-1.0-0.0","6277cd4fea5f69868617658b","E1","batch5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","2","10812","0.0-2.0-0.0","6277cd4fea5f69868617658b","E1","batch5","spm_fullscreen","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","3","14481","0.0-2.0-1.0","6277cd4fea5f69868617658b","E1","batch5","","3665.800000011921","<p class = block-text><b>Instructions</b> <br>This is a widely used intelligence test in research. <br>In this test, a figure with a missing piece will be presented.<br>Below the figure are alternative pieces to complete the figure, only one of which is correct.<br> Different figures might involve different principles for obtaining the missing piece<br>Your job is to select the most logical piece to complete the figure.</p>","0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","4","15288","0.0-2.0-2.0-0.0","6277cd4fea5f69868617658b","E1","batch5","spm_show_trial_num","null","<p class=block-text>Trial 1 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","5","21092","0.0-2.0-2.0-1.0","6277cd4fea5f69868617658b","E1","batch5","spm_respsonse","5781.4000000059605","img/question_1_1.jpeg","3","mat_01","4","1","1","5781.4000000059605","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","6","22164","0.0-2.0-2.0-0.1","6277cd4fea5f69868617658b","E1","batch5","spm_show_trial_num","null","<p class=block-text>Trial 2 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","7","24242","0.0-2.0-2.0-1.1","6277cd4fea5f69868617658b","E1","batch5","spm_respsonse","2075","img/question_1_2.jpeg","4","mat_02","5","1","1","2075","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","8","25312","0.0-2.0-2.0-0.2","6277cd4fea5f69868617658b","E1","batch5","spm_show_trial_num","null","<p class=block-text>Trial 3 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","9","28020","0.0-2.0-2.0-1.2","6277cd4fea5f69868617658b","E1","batch5","spm_respsonse","2705.5","img/question_1_3.jpeg","3","mat_03","1","0","0","2705.5","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","10","29090","0.0-2.0-2.0-0.3","6277cd4fea5f69868617658b","E1","batch5","spm_show_trial_num","null","<p class=block-text>Trial 4 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
