"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","view_history","rt","stimulus","response","task","correct","answer","item","fiar_detect_rt","fiar_detect_correct","total_correct_fiar_detect","post_trial_gap","choices","mouse_click","stim_duration","block_duration","timing_post_trial","current_position","tol_num_moves_made","tol_target","tol_problem_id","tol_rt","key_press","possible_responses","tol_correct","preplanning","tol_rt_per_trial","tol_min_moves","spm_correct","spm_rt"
"true","false","[]","[]","[]","preload","0","2812","0.0-0.0","5e065c9fe78021031a4b1d59","D2","batch4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","1","12624","0.0-1.0-0.0","5e065c9fe78021031a4b1d59","D2","batch4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","2","16183","0.0-2.0-0.0","5e065c9fe78021031a4b1d59","D2","batch4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","instructions","3","37107","0.0-2.0-1.0-0.0","5e065c9fe78021031a4b1d59","D2","batch4","[{""page_index"":0,""viewing_time"":13640.699999988079},{""page_index"":1,""viewing_time"":7280.0999999940395}]","20921.40000000596","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","4","38140","0.0-2.0-1.0-1.0-0.0","5e065c9fe78021031a4b1d59","D2","batch4","","1029.800000011921","<p class=block-text> Let's answer a few questions <br>","0","pattern_enter_quiz","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","5","40356","0.0-2.0-1.0-1.0-1.0","5e065c9fe78021031a4b1d59","D2","batch4","","2213.5","<p class = block-text>True or False: You will have as much time as you want to make each choice. <br></p>","1","pattern_quiz","true","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","6","41280","0.0-2.0-1.0-1.0-2.0","5e065c9fe78021031a4b1d59","D2","batch4","","921.0999999940395","<p class = block-text>Correct! You should make your choice <strong> as fast as you can</strong>.</p>","0","pattern_quiz_feedback","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","7","43907","0.0-2.0-1.0-1.0-3.0","5e065c9fe78021031a4b1d59","D2","batch4","","2624.2999999821186","<p class = block-text>True or False: You will look for 4 pieces in black or white color connected in a row either horizontally, vertically or diagonally. <br></p>","0","pattern_quiz","true","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","8","44517","0.0-2.0-1.0-1.0-4.0","5e065c9fe78021031a4b1d59","D2","batch4","","609.0999999940395","<p class = block-text>Correct! </p>","0","pattern_quiz_feedback","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","9","45560","0.0-2.0-2.0","5e065c9fe78021031a4b1d59","D2","batch4","","1040.5999999940395","<p class=block-text> Now that you've understood the game, let's do a few practice trials before we start!<br> <br>","0","pattern_enter_practice","","","","","","","","","","","","","","","","","","","","","","","","",""
